Икономически дейности (код по НКИД )	Наименование на икономическа дейност	Ръко-водни служи-тели	Анали-тични специа-листи	Приложни специа-листи	Помощен персонал	Персонал зает с услуги за насел., охрана и търговия	Производители в селското, горското и рибното стоп., ловци и риболовци	Квалифи-цирани производ-ствени работници	Оператори на съоръже-ния, машини и трансп. средства	Ниско-квалифи-цирани работници
332	Производство на уреди и апарати за измерване, проверка, изпитване, навигация и за други цели	330	220	200	150	150	0	180	160	150
3320	Производство на уреди и апарати за измерване, проверка, изпитване, навигация и за други цели	330	220	200	150	150	0	180	160	150
333	Производство на оборудване за контрол на производствените процеси	330	220	200	150	150	0	180	160	150
3330	Производство на оборудване за контрол на производствените процеси	330	220	200	150	150	0	180	160	150
334	Производство на оптични уреди и елементи и фотографска техника	330	220	200	150	150	0	180	160	150
3340	Производство на оптични уреди и елементи и фотографска техника	330	220	200	150	150	0	180	160	150
335	Производство на часовници и часовникови механизми	330	220	200	150	150	0	180	160	150
3350	Производство на часовници и часовникови механизми	330	220	200	150	150	0	180	160	150
341	Производство на автомобили и двигатели за моторни превозни средства	360	240	215	150	150	150	220	175	150
3410	Производство на автомобили и двигатели за моторни превозни средства	360	240	215	150	150	150	220	175	150
342	"Производство на каросерии за автомобили; производство на ремаркета и полуремаркета"	360	240	215	150	150	150	220	175	150
3420	"Производство на каросерии за автомобили; производство на ремаркета и полуремаркета"	360	240	215	150	150	150	220	175	150
343 	Производство на части и принадлежности за автомобили и за техните двигатели	360	240	215	150	150	150	220	175	150
3430	Производство на части и принадлежности за автомобили и за техните двигатели	360	240	215	150	150	150	220	175	150
351	Строителство и ремонт на плавателни съдове	360	240	215	150	150	150	220	175	150
3511	Строителство и ремонт на плавателни съдове, без тези за развлечение и спорт	360	240	215	150	150	150	220	175	150
3512	Строителство и ремонт на плавателни съдове за развлечение и спорт	360	240	215	150	150	150	220	175	150
352	Производство на локомотиви, мотриси и вагони	360	240	215	150	150	150	220	175	150
3520	Производство на локомотиви, мотриси и вагони	360	240	215	150	150	150	220	175	150
353	Производство на въздухоплавателни и космически средства и техните двигатели	360	240	215	150	150	150	220	175	150
3530	Производство на въздухоплавателни и космически средства и техните двигатели	360	240	215	150	150	150	220	175	150
354	Производство на мотоциклети и велосипеди	360	240	215	150	150	150	220	175	150
3541	Производство на мотоциклети	360	240	215	150	150	150	220	175	150
3542	Производство на велосипеди	360	240	215	150	150	150	220	175	150
3543	Производство на инвалидни колички	360	240	215	150	150	150	220	175	150
355	Производство на превозни средства, некласифицирани другаде	360	240	215	150	150	150	220	175	150
3550	Производство на превозни средства, некласифицирани другаде	360	240	215	150	150	150	220	175	150
361	Производство на мебели	220	200	180	150	150	0	160	160	150
3611	Производство на столове и седалки	220	200	180	150	150	0	160	160	150
3612	Производство на канцеларски и търговски мебели, без столове	220	200	180	150	150	0	160	160	150
3613	Производство на кухненски мебели, без столове	220	200	180	150	150	0	160	160	150
3614	Производство на други мебели, без столове	220	200	180	150	150	0	160	160	150
3615	Производство на матраци и дюшеци	220	200	180	150	150	0	160	160	150
362	Производство на бижута и подобни изделия	280	190	180	150	150	150	150	160	150
3621	Сечене на монети	280	190	180	150	150	150	150	160	150
3622	Производство на бижутерийни и други изделия от благородни метали и скъпоценни камъни, некласифицирани другаде	280	190	180	150	150	150	150	160	150
363	Производство на музикални инструменти	280	190	180	150	150	150	150	160	150
3630	Производство на музикални инструменти	280	190	180	150	150	150	150	160	150
364	Производство на спортни стоки	280	190	180	150	150	150	150	160	150
3640	Производство на спортни стоки	280	190	180	150	150	150	150	160	150
365	Производство на игри и детски играчки	280	190	180	150	150	150	150	160	150
3650	Производство на игри и детски играчки	280	190	180	150	150	150	150	160	150
366	Разнообразни производства, некласифицирани другаде	280	190	180	150	150	150	150	160	150
3661	Производство на бижута имитация	280	190	180	150	150	150	150	160	150
3662	Производство на метли и четки	280	190	180	150	150	150	150	160	150
3663	Други разнообразни производства, некласифицирани другаде	280	190	180	150	150	150	150	160	150
371	Рециклиране на метални отпадъци	280	190	180	150	150	150	150	160	150
3710	Рециклиране на метални отпадъци	280	190	180	150	150	150	150	160	150
372	Рециклиране на неметални отпадъци	280	190	180	150	150	150	150	160	150
3720	Рециклиране на неметални отпадъци	280	190	180	150	150	150	150	160	150
401	Производство, пренос и разпределение на електрическа енергия	530	430	380	210	180	0	300	280	150
4011	Производство на електрическа енергия	530	430	380	210	180	0	300	280	150
4012	Пренос на електрическа енергия 	530	430	380	210	180	0	300	280	150
4013	Разпределение и търговия на електрическа енергия	530	430	380	210	180	0	300	280	150
402	Производство и разпределение на газообразни горива	580	400	380	230	200	150	270	300	200
4021	Производство на газообразни горива	580	400	380	230	200	150	270	300	200
4022	Разпределение и търговия на газообразни горива	580	400	380	230	200	150	270	300	200
403	Производство и разпределение на топлинна енергия	510	350	330	170	170	0	230	260	150
4030	Производство и разпределение на топлинна енергия	510	350	330	170	170	0	230	260	150
410	Събиране, пречистване и разпределение на вода	405	365	325	190	180	0	255	190	190
4100	Събиране, пречистване и разпределение на вода	405	365	325	190	180	0	255	190	190
451	Подготовка на строителната площадка	390	310	300	180	170	0	230	230	170
4511	"Събаряне и разчистване на сгради; земни работи"	390	310	300	180	170	0	230	230	170
4512	Сондиране и пробиване	390	310	300	180	170	0	230	230	170
452	Строителство на сгради и строителни съоръжения или части от тях	390	310	300	180	170	0	230	230	170
4521	Общо строителство на сгради и строителни съоръжения 	390	310	300	180	170	0	230	230	170
4522	Строителство на покриви и хидроизолации	390	310	300	180	170	0	230	230	170
4523	Строителство на пътища, самолетни писти и спортни терени	405	330	330	205	150	150	240	230	150
4524	Строителство на хидротехнически съоръжения	390	310	300	180	170	0	230	230	170
4525	Други специализирани строителни дейности 	390	310	300	180	170	0	230	230	170
453	Строителство на инсталации	390	310	300	180	170	0	230	230	170
4531	Строителство на електрически инсталации	390	310	300	180	170	0	230	230	170
4532	Изолационни строителни дейности	390	310	300	180	170	0	230	230	170
4533	Строителство на тръбопроводни инсталации	390	310	300	180	170	0	230	230	170
4534	Строителство на други инсталации	390	310	300	180	170	0	230	230	170
454	Довършителни строителни дейности	390	310	300	180	170	0	230	230	170
4541	Полагане на мазилки	390	310	300	180	170	0	230	230	170
4542	Монтаж на дограма, интериорни и други завършващи елементи	390	310	300	180	170	0	230	230	170
4543	Полагане на подови настилки и стенни облицовки	390	310	300	180	170	0	230	230	170
4544	Боядисване и стъклопоставяне	390	310	300	180	170	0	230	230	170
4545	Други довършителни строителни дейности	390	310	300	180	170	0	230	230	170
455	Даване под наем на строителни машини и оборудване, с оператор	390	310	300	180	170	0	230	230	170
4550	Даване под наем на строителни машини и оборудване, с оператор	390	310	300	180	170	0	230	230	170
501	Търговия с автомобили	390	350	300	200	170	160	200	210	150
5010	Търговия с автомобили	390	350	300	200	170	160	200	210	150
502	Техническо обслужване и ремонт на автомобили	390	350	300	200	170	160	200	210	150
5020	Техническо обслужване и ремонт на автомобили	390	350	300	200	170	160	200	210	150
503	Търговия с части и принадлежности за автомобили	390	350	300	200	170	160	200	210	150
5030	Търговия с части и принадлежности за автомобили	390	350	300	200	170	160	200	210	150
504	Търговия с мотоциклети, части и принадлежности за тях, техническо обслужване и ремонт на мотоциклети 	390	350	300	200	170	160	200	210	150
5040	Търговия с мотоциклети, части и принадлежности за тях, техническо обслужване и ремонт на мотоциклети 	390	350	300	200	170	160	200	210	150
505	Търговия на дребно с автомобилни горива и смазочни материали 	390	350	300	200	170	160	200	210	150
5050	Търговия на дребно с автомобилни горива и смазочни материали	390	350	300	200	170	160	200	210	150
511	Търговско посредничество, без търговия с автомобили и мотоциклети 	390	350	300	200	170	160	200	210	150
5111	Търговско посредничество със селскостопански суровини, живи животни, текстилни суровини и полуфабрикати	390	350	300	200	170	160	200	210	150
5112	Търговско посредничество с горива, руди, метали и химични продукти	390	350	300	200	170	160	200	210	150
5113	Търговско посредничество с дървен и строителен материал	390	350	300	200	170	160	200	210	150
5114	Търговско посредничество с машини, промишлено оборудване, плавателни съдове и въздухоплавателни средства	390	350	300	200	170	160	200	210	150
5115	Търговско посредничество с мебели, стоки за домакинството, железария и метални изделия	390	350	300	200	170	160	200	210	150
5116	Търговско посредничество с текстил, облекло, обувки и кожени изделия	390	350	300	200	170	160	200	210	150
5117	Търговско посредничество с хранителни продукти, напитки и тютюневи изделия	390	350	300	200	170	160	200	210	150
5118	Търговско посредничество с други специфични стоки или групи стоки, некласифицирано другаде	390	350	300	200	170	160	200	210	150
5119	Търговско посредничество с разнообразни стоки	390	350	300	200	170	160	200	210	150
512	Tърговия на едро със селскостопански суровини и живи животни	390	350	300	200	170	160	200	210	150
5121	Търговия на едро със зърно, семена, фуражи и други суровини от растителен и животински произход	390	350	300	200	170	160	200	210	150
5122	Търговия на едро с цветя и растения	390	350	300	200	170	160	200	210	150
5123	Търговия на едро с живи животни	390	350	300	200	170	160	200	210	150
5124	Търговия на едро със сурови и обработени кожи	390	350	300	200	170	160	200	210	150
5125	Търговия на едро със суров и първично обработен тютюн	390	350	300	200	170	160	200	210	150
513	Търговия на едро с хранителни продукти, напитки и тютюневи изделия 	390	350	300	200	170	160	200	210	150
5131	Търговия на едро с пресни плодове и зеленчуци	390	350	300	200	170	160	200	210	150
5132	Търговия на едро с месо и месни продукти	390	350	300	200	170	160	200	210	150
5133	Търговия на едро с мляко, млечни продукти, яйца, хранителни масла и мазнини	390	350	300	200	170	160	200	210	150
5134	Търговия на едро с алкохолни и други напитки	390	350	300	200	170	160	200	210	150
5135	Търговия на едро с тютюневи изделия	390	350	300	200	170	160	200	210	150
5136	Търговия на едро със захар, захарни изделия и шоколад	390	350	300	200	170	160	200	210	150
5137	Търговия на едро с кафе, чай, какао и подправки	390	350	300	200	170	160	200	210	150
5138	Tърговия на едро с други хранителни продукти	390	350	300	200	170	160	200	210	150
5139	Неспециализирана търговия на едро с хранителни продукти, напитки и тютюневи изделия	390	350	300	200	170	160	200	210	150
514	Търговия на едро със стоки за домакинството	390	350	300	200	170	160	200	210	150
5141	Търговия на едро с текстил 	390	350	300	200	170	160	200	210	150
5142	Търговия на едро с облекло и обувки	390	350	300	200	170	160	200	210	150
5143	Търговия на едро с електрически домакински уреди и осветители, радио- и телевизионни стоки	390	350	300	200	170	160	200	210	150
5144	Търговия на едро с порцеланови и стъкларски изделия, тапети и почистващи препарати	390	350	300	200	170	160	200	210	150
5145	Търговия на едро с парфюмерийни и козметични изделия	390	350	300	200	170	160	200	210	150
5146	Търговия на едро с фармацевтични, медицински и ортопедични изделия	390	350	300	200	170	160	200	210	150
5147	Търговия на едро с други стоки за домакинството	390	350	300	200	170	160	200	210	150
515	Търговия на едро с неселскостопански междинни продукти (суровини, материали, горива), отпадъци и скрап	390	350	300	200	170	160	200	210	150
5151	Търговия на едро с твърди, течни и газообразни горива и подобни продукти	390	350	300	200	170	160	200	210	150
5152	Търговия на едро с метални руди и метали в първични форми	390	350	300	200	170	160	200	210	150
5153	Търговия на едро с дървен материал, материали за строителството и санитарно оборудване	390	350	300	200	170	160	200	210	150
5154	Търговия на едро с железария, водопроводно и отоплително оборудване и арматура за него 	390	350	300	200	170	160	200	210	150
5155	Търговия на едро с химични продукти	390	350	300	200	170	160	200	210	150
5156	Търговия на едро с други неселскостопански междинни продукти	390	350	300	200	170	160	200	210	150
5157	Търговия на едро с отпадъци и скрап	390	350	300	200	170	160	200	210	150
518	Търговия на едро с машини и оборудване и части за тях	390	350	300	200	170	160	200	210	150
5181	Търговия на едро с обработващи машини и части за тях	390	350	300	200	170	160	200	210	150
5182	Търговия на едро с машини и оборудване за добива, строителството и части за тях	390	350	300	200	170	160	200	210	150
5183	Търговия на едро с машини за текстил, облекло, кожи и кожени изделия и части за тях	390	350	300	200	170	160	200	210	150
5184	Търговия на едро с електронноизчислителна техника, периферни устройства и софтуер 	390	350	300	200	170	160	200	210	150
5185	Търговия на едро с друга канцеларска техника, канцеларски мебели	390	350	300	200	170	160	200	210	150
5186	Търговия на едро с други електронни елементи и оборудване 	390	350	300	200	170	160	200	210	150
5187	Търговия на едро с други машини и оборудване за производството, търговията, навигацията и транспорта и части за тях	390	350	300	200	170	160	200	210	150
5188	Търговия на едро с трактори, машини и инвентар за селското стопанство и части за тях	390	350	300	200	170	160	200	210	150
519	Друга търговия на едро 	390	350	300	200	170	160	200	210	150
5190	Друга търговия на едро	390	350	300	200	170	160	200	210	150
521	Търговия на дребно в неспециализирани магазини	390	350	300	200	170	160	200	210	150
5211	Търговия на дребно в неспециализирани магазини предимно с хранителни продукти, напитки и тютюневи изделия	390	350	300	200	170	160	200	210	150
5212	Търговия на дребно в неспециализирани магазини с разнообразни стоки	390	350	300	200	170	160	200	210	150
522	Търговия на дребно в специализирани магазини с хранителни продукти, напитки и тютюневи изделия	390	350	300	200	170	160	200	210	150
5221	Търговия на дребно с пресни плодове и зеленчуци	390	350	300	200	170	160	200	210	150
5222	Търговия на дребно с месо и месни продукти	390	350	300	200	170	160	200	210	150
5223	Търговия на дребно с риба, рибни продукти, ракообразни и мекотели	390	350	300	200	170	160	200	210	150
5224	Търговия на дребно с хляб, хлебни, захарни и сладкарски изделия 	390	350	300	200	170	160	200	210	150
5225	Търговия на дребно с алкохолни и други напитки	390	350	300	200	170	160	200	210	150
5226	Търговия на дребно с тютюневи изделия	390	350	300	200	170	160	200	210	150
5227	Търговия на дребно в специализирани магазини с други хранителни продукти	390	350	300	200	170	160	200	210	150
523	Търговия на дребно с фармацевтични и медицински стоки, козметика и тоалетни принадлежности	390	350	300	200	170	160	200	210	150
5231	Търговия на дребно с фармацевтични стоки	390	350	300	200	170	160	200	210	150
5232	Търговия на дребно с медицински и ортопедични стоки	390	350	300	200	170	160	200	210	150
5233	Търговия на дребно с парфюмерийни, козметични изделия и тоалетни принадлежности	390	350	300	200	170	160	200	210	150
524	Търговия на дребно в специализирани магазини с други стоки	390	350	300	200	170	160	200	210	150
5241	Търговия на дребно с текстил	390	350	300	200	170	160	200	210	150
5242	Търговия на дребно с облекло	390	350	300	200	170	160	200	210	150
5243	Търговия на дребно с обувки и кожени изделия	390	350	300	200	170	160	200	210	150
5244	Търговия на дребно с мебели, осветители и стоки за домакинството, некласифицирана другаде	390	350	300	200	170	160	200	210	150
5245	Търговия на дребно с електрически домакински уреди, радио- и телевизионни стоки	390	350	300	200	170	160	200	210	150
5246	Търговия на дребно с железария, бои и плоско стъкло	390	350	300	200	170	160	200	210	150
5247	Търговия на дребно с книги, вестници и канцеларски стоки	390	350	300	200	170	160	200	210	150
5248	Търговия на дребно в специализирани магазини с други стоки, некласифицирана другаде	390	350	300	200	170	160	200	210	150
525	Търговия на дребно с употребявани стоки в магазини	390	350	300	200	170	160	200	210	150
5250	Търговия на дребно с употребявани стоки в магазини	390	350	300	200	170	160	200	210	150
526	Търговия на дребно, извършвана извън магазини	390	350	300	200	170	160	200	210	150
5261	Търговия на дребно чрез фирми, изпълняващи поръчки по пощата	390	350	300	200	170	160	200	210	150
5262	Търговия на дребно на открити щандове и пазари	390	350	300	200	170	160	200	210	150
5263	Търговия на дребно извън магазини, некласифицирана другаде	390	350	300	200	170	160	200	210	150
527	Поправка и ремонт на лични вещи и стоки за домакинството	390	350	300	200	170	160	200	210	150
5271	Поправка на обувки и изделия от кожа	390	350	300	200	170	160	200	210	150
5272	Ремонт на електрически домакински уреди	390	350	300	200	170	160	200	210	150
5273	Поправка на часовници и бижута	390	350	300	200	170	160	200	210	150
5274	Поправка и ремонт на лични вещи и стоки за домакинството, некласифицирани другаде	390	350	300	200	170	160	200	210	150
551	Хотели	345	320	245	180	160	0	205	185	155
5510	Хотели	345	320	245	180	160	0	205	185	155
552	Къмпинги и други места за краткосрочно настаняване	345	320	245	180	160	0	205	185	155
5521	Туристически спални и хижи	345	320	245	180	160	0	205	185	155
5522	Къмпинги, вкл. места за каравани	345	320	245	180	160	0	205	185	155
5523	Други места за краткосрочно настаняване	345	320	245	180	160	0	205	185	155
553	Ресторанти	345	320	245	180	160	0	205	185	155
5530	Ресторанти	345	320	245	180	160	0	205	185	155
554	Питейни заведения	345	320	245	180	160	0	205	185	155
5540	Питейни заведения	345	320	245	180	160	0	205	185	155
555	Столове и заведения за приготвяне и доставяне на храна	345	320	245	180	160	0	205	185	155
5551	Столове	345	320	245	180	160	0	205	185	155
5552	Заведения за приготвяне и доставяне на храна	345	320	245	180	160	0	205	185	155
601	Железопътен транспорт	310	280	220	150	150	0	170	180	150
6010	Железопътен транспорт	310	280	220	150	150	0	170	180	150
602	Друг сухопътен транспорт, без тръбопроводен	300	240	210	150	150	0	160	160	150
6021	Друг сухопътен пътнически транспорт по разписание	300	240	210	150	150	0	160	160	150
6022	Таксиметров пътнически транспорт	300	240	210	150	150	0	160	160	150
6023	Друг сухопътен пътнически транспорт без разписание	300	240	210	150	150	0	160	160	150
6024	Товарен автомобилен транспорт	300	240	210	150	150	0	160	160	150
603	Тръбопроводен транспорт	300	240	210	150	150	0	160	160	150
6030	Тръбопроводен транспорт	300	240	210	150	150	0	160	160	150
611	Морски и крайбрежен транспорт	330	310	260	155	150	0	170	180	150
6110	Морски и крайбрежен транспорт	330	310	260	155	150	0	170	180	150
612	Речен и друг транспорт по вътрешни водни пътища	330	310	260	155	150	0	170	180	150
6120	Речен и друг транспорт по вътрешни водни пътища	330	310	260	155	150	0	170	180	150
621	Въздушен транспорт по разписание	320	310	260	160	160	0	170	180	150
6210	Въздушен транспорт по разписание	320	310	260	160	160	0	170	180	150
622	Въздушен транспорт без разписание	320	310	260	160	160	0	170	180	150
6220	Въздушен транспорт без разписание	320	310	260	160	160	0	170	180	150
623	Космически транспорт	320	310	260	160	160	0	170	180	150
6230	Космически транспорт	320	310	260	160	160	0	170	180	150
631	Обработка и складиране на товари	320	300	240	150	0	0	170	150	150
6311	Обработка на товари	320	300	240	150	0	0	170	150	150
6312	Складиране и съхраняване на товари	320	300	240	150	0	0	170	150	150
632	Други спомагателни дейности в транспорта	320	300	240	150	0	0	170	150	150
6321	Други спомагателни дейности в сухопътния транспорт	320	300	240	150	0	0	170	150	150
6322	Други спомагателни дейности във водния транспорт	320	300	240	150	0	0	170	150	150
6323	Други спомагателни дейности във въздушния транспорт	320	300	240	150	0	0	170	150	150
633	"Дейности на туроператори и туристически агенции; спомагателни туристически дейности, некласифицирани другаде"	320	300	240	150	0	0	170	150	150
6330	"Дейности на туроператори и туристически агенции; спомагателни туристически дейности, некласифицирани другаде"	320	300	240	150	0	0	170	150	150
634	Дейности на агенции, свързани с превоз на товари	320	300	240	150	0	0	170	150	150
6340	Дейности на агенции, свързани с превоз на товари	320	300	240	150	0	0	170	150	150
641	Дейност на националната поща, куриерска дейност	230	215	195	160	160	0	185	170	150
6411	Дейност на националната поща	230	215	195	160	160	0	185	170	150
6412	Куриерска дейност, различна от тази на националната поща	230	215	195	160	160	0	185	170	150
642	Далекосъобщения	310	280	250	190	190	0	210	210	151
6420	Далекосъобщения	310	280	250	190	190	0	210	210	151
651	Парично посредничество	630	400	300	220	160	150	180	230	150
6511	Дейност на централната банка	630	400	300	220	160	150	180	230	150
6512	Друго парично посредничество	630	400	300	220	160	150	180	230	150
652	Друго финансово посредничество	630	400	300	220	160	150	180	230	150
6521	Финансов лизинг	630	400	300	220	160	150	180	230	150
6522	Други форми на предоставяне на кредит	630	400	300	220	160	150	180	230	150
6523	Друго финансово посредничество, некласифицирано другаде, без застраховане и осигуряване чрез самостоятелни фондове	630	400	300	220	160	150	180	230	150
660	Застрахователна дейност и дейност на самостоятелни осигурителни фондове, без задължително обществено осигуряване	630	400	300	220	160	150	180	230	150
6601	Животозастраховане	630	400	300	220	160	150	180	230	150
6602	Дейност на самостоятелни осигурителни фондове	630	400	300	220	160	150	180	230	150
6603	Друго застраховане, без животозастраховане	630	400	300	220	160	150	180	230	150
671	Спомагателни дейности по финансово посредничество, без застраховане и осигуряване чрез самостоятелни фондове	630	400	300	220	160	150	180	230	150
6711	Управление на финансови пазари	630	400	300	220	160	150	180	230	150
6712	Брокерски дейности с ценни книжа и управление на “портфейли”	630	400	300	220	160	150	180	230	150
6713	Спомагателни дейности по финансово посредничество, некласифицирани другаде	630	400	300	220	160	150	180	230	150
672	Спомагателни дейности по застраховане и осигуряване чрез самостоятелни фондове	630	400	300	220	160	150	180	230	150
6720	Спомагателни дейности по застраховане и осигуряване чрез самостоятелни фондове	630	400	300	220	160	150	180	230	150
701	Подготовка за продажба, покупка и продажба на собствени недвижими имоти	400	260	210	150	150	150	160	170	150
7011	Подготовка за продажба на недвижими имоти	400	260	210	150	150	150	160	170	150
7012	Покупка и продажба на собствени недвижими имоти	400	260	210	150	150	150	160	170	150
702	Даване под наем на собствени недвижими имоти	400	260	210	150	150	150	160	170	150
7020	Даване под наем на собствени недвижими имоти	400	260	210	150	150	150	160	170	150
703	Посредническа дейност по операции с недвижими имоти	400	260	210	150	150	150	160	170	150
7031	Посредническа дейност на агенции за недвижими имоти	400	260	210	150	150	150	160	170	150
7032	Посредническа дейност по управление на недвижими имоти	400	260	210	150	150	150	160	170	150
711	Даване под наем на леки и лекотоварни автомобили, без водач	400	260	210	150	150	150	160	170	150
7110	Даване под наем на леки и лекотоварни автомобили, без водач	400	260	210	150	150	150	160	170	150
712	Даване под наем на други превозни средства, без водач	400	260	210	150	150	150	160	170	150
7121	Даване под наем на други средства за сухопътен транспорт, без водач	400	260	210	150	150	150	160	170	150
7122	Даване под наем на средства за воден транспорт, без екипаж	400	260	210	150	150	150	160	170	150
7123	Даване под наем на средства за въздушен транспорт, без екипаж	400	260	210	150	150	150	160	170	150
713	Даване под наем на други машини и техника, без оператор	400	260	210	150	150	150	160	170	150
7131	Даване под наем на селскостопански машини и инвентар, без оператор	400	260	210	150	150	150	160	170	150
7132	Даване под наем на строителни машини и оборудване, без оператор	400	260	210	150	150	150	160	170	150
7133	Даване под наем на канцеларска, счетоводна и електронноизчислителна техника, без оператор	400	260	210	150	150	150	160	170	150
7134	Даване под наем на други машини и техника, без оператор, некласифицирани другаде	400	260	210	150	150	150	160	170	150
714	Даване под наем на лични и домакински вещи	400	260	210	150	150	150	160	170	150
7140	Даване под наем на лични и домакински вещи	400	260	210	150	150	150	160	170	150
721	Консултации по хардуер	400	260	210	150	150	150	160	170	150
7210	Консултации по хардуер	400	260	210	150	150	150	160	170	150
722	Разработване на софтуер	400	260	210	150	150	150	160	170	150
7221	Издаване на стандартен софтуер	400	260	210	150	150	150	160	170	150
7222	Други дейности по разработване на софтуер	400	260	210	150	150	150	160	170	150
723	Обработка на данни 	400	260	210	150	150	150	160	170	150
7230	Обработка на данни 	400	260	210	150	150	150	160	170	150
724	Дейности, свързани с бази от данни	400	260	210	150	150	150	160	170	150
7240	Дейности, свързани с бази от данни	400	260	210	150	150	150	160	170	150
725	Поддържане и ремонт на канцеларска, счетоводна и електронноизчислителна техника	400	260	210	150	150	150	160	170	150
7250	Поддържане и ремонт на канцеларска, счетоводна и електронноизчислителна техника	400	260	210	150	150	150	160	170	150
726	Други дейности в областта на компютърните технологии	400	260	210	150	150	150	160	170	150
7260	Други дейности в областта на компютърните технологии	400	260	210	150	150	150	160	170	150
731	Научноизследователска и развойна дейност в областта на естествените, медицинските, селскостопанските и техническите науки	281	202	180	169	150	150	157	157	157
7310	Научноизследователска и развойна дейност в областта на естествените, медицинските, селскостопанските и техническите науки 	281	202	180	169	150	150	157	157	157
732	Научноизследователска и развойна дейност в областта на обществените и хуманитарните науки	281	202	180	169	150	150	157	157	157
7320	Научноизследователска и развойна дейност в областта на обществените и хуманитарните науки	281	202	180	169	150	150	157	157	157
741	"Юридически, счетоводни и одиторски дейности; консултации по управление и стопанска дейност"	400	260	210	150	150	150	160	170	150
7411	Юридически услуги	400	260	210	150	150	150	160	170	150
7412	"Счетоводни и одиторски дейности; данъчни консултации"	400	260	210	150	150	150	160	170	150
7413	Проучване на пазари и изследване на общественото мнение	400	260	210	150	150	150	160	170	150
7414	Консултации по управление и стопанска дейност	400	260	210	150	150	150	160	170	150
7415	Управление на холдингови дружества	400	260	210	150	150	150	160	170	150
742	Архитектурни и инженерни дейности и технически консултации	400	260	210	150	150	150	160	170	150
7420	Архитектурни и инженерни дейности и технически консултации	400	260	210	150	150	150	160	170	150
743	Дейности по технически изпитвания и анализи	400	260	210	150	150	150	160	170	150
7430	Дейности по технически изпитвания и анализи	400	260	210	150	150	150	160	170	150
744	Рекламна дейност	400	260	210	150	150	150	160	170	150
7440	Рекламна дейност	400	260	210	150	150	150	160	170	150
745	Посредническа дейност по набиране, насочване и предоставяне на работна сила, без дейността на Агенцията по заетостта	400	260	210	150	150	150	160	170	150
7450	Посредническа дейност по набиране, насочване и предоставяне на работна сила, без дейността на Агенцията по заетостта	400	260	210	150	150	150	160	170	150
746	Детективска и охранителна дейност	400	260	210	150	150	150	160	170	150
7460	Детективска и охранителна дейност 	400	260	210	150	150	150	160	170	150
747	Почистване на сгради, промишлени инсталации и превозни средства	400	260	210	150	150	150	160	170	150
7470	Почистване на сгради, промишлени инсталации и превозни средства	400	260	210	150	150	150	160	170	150
748	Разнообразни бизнесуслуги, некласифицирани другаде	400	260	210	150	150	150	160	170	150
7481	Дейности в областта на фотографията	400	260	210	150	150	150	160	170	150
7482	Пакетиране на стоки	400	260	210	150	150	150	160	170	150
7485	"Секретарски и преводачески дейности; размножаване и експедиция"	400	260	210	150	150	150	160	170	150
7486	Дейности на центрове за услуги чрез телефонни обаждания (Call центрове)	400	260	210	150	150	150	160	170	150
7487	Други бизнесуслуги, некласифицирани другаде	400	260	210	150	150	150	160	170	150
751	Управление на държавата и управление на икономическата и социалната политика на обществото	208	150	150	150	150	150	150	150	150
7511	Общофункционално управление на държавата на централно и местно равнище	208	150	150	150	150	150	150	150	150
7512	Държавно управление в областта на социалната политика, без задължителното обществено осигуряване	208	150	150	150	150	150	150	150	150
7513	Държавно управление в областта на стопанската дейност	208	150	150	150	150	150	150	150	150
7514	Спомагателни дейности за държавното управление като цяло	208	150	150	150	150	150	150	150	150
752	Услуги на държавното управление за обществото като цяло	208	150	150	150	150	150	150	150	150
7521	Външни работи	208	150	150	150	150	150	150	150	150
7522	Дейности в областта на отбраната	208	150	150	150	150	150	150	150	150
7523	Правораздаване и съдебна дейност	208	150	150	150	150	150	150	150	150
7524	Дейности по защита на националната сигурност и опазване на обществения ред	208	150	150	150	150	150	150	150	150
7525	Дейности по пожарна и аварийна безопасност	208	150	150	150	150	150	150	150	150
753	Задължително обществено осигуряване	208	150	150	150	150	150	150	150	150
7530	Задължително обществено осигуряване	208	150	150	150	150	150	150	150	150
801	Предучилищно и основно образование	287	241	202	150	150	150	150	150	150
8010	Предучилищно и основно образование	287	241	202	150	150	150	150	150	150
802	Средно общо и професионално образование	287	241	202	150	150	150	150	150	150
8021	Средно общо образование	287	241	202	150	150	150	150	150	150
8022	Средно професионално образование и обучение	287	241	202	150	150	150	150	150	150
803	Висше образование	287	241	202	150	150	150	150	150	150
8030	Висше образование	287	241	202	150	150	150	150	150	150
804	Образование за възрастни и друга образователна дейност	287	241	202	150	150	150	150	150	150
8041	Обучение за придобиване на правоспособност за управление на превозни средства	287	241	202	150	150	150	150	150	150
8042	Друго обучение за възрастни и друга образователна дейност, некласифицирана другаде	287	241	202	150	150	150	150	150	150
851	Хуманно здравеопазване	387	248	157	150	150	150	150	150	150
8511	Дейност на лечебни заведения за болнична помощ	400	300	200	150	150	0	170	170	150
8512	Дейност на лечебни заведения за извънболнична лекарска помощ	387	248	157	150	150	150	150	150	150
8513	Дейност на лечебни заведения за стоматологична помощ	387	248	157	150	150	150	150	150	150
8514	Друго хуманно здравеопазване	387	248	157	150	150	150	150	150	150
852	Ветеринарна лечебна дейност	387	248	157	150	150	150	150	150	150
8520	Ветеринарна лечебна дейност	387	248	157	150	150	150	150	150	150
